JobID,ea3238ef-2ecf-489d-90d2-c89430f0b54e
date,avg
01/04/2020,13.550076484680176
01/07/2020,9.54271125793457
01/10/2020,9.308629989624023
01/13/2020,8.42072868347168
01/16/2020,7.591675281524658
01/19/2020,7.078569412231445
01/22/2020,6.692957878112793
01/25/2020,6.0934672355651855
01/28/2020,5.712432861328125
01/31/2020,5.564837455749512
02/03/2020,4.924922943115234
02/06/2020,4.556942939758301
02/09/2020,4.378124713897705
02/12/2020,3.9513516426086426
02/15/2020,3.658475875854492
02/18/2020,3.2473502159118652
02/21/2020,2.8763909339904785
02/24/2020,4.437646389007568
02/27/2020,3.272630214691162
03/01/2020,2.728482723236084
03/04/2020,3.11456036567688
03/07/2020,4.13468599319458
03/10/2020,2.751002788543701
03/13/2020,2.428067445755005
03/16/2020,2.281700849533081
03/19/2020,2.219712018966675
03/22/2020,2.2411649227142334
03/25/2020,2.084821939468384
03/28/2020,2.017625331878662
03/31/2020,1.92509925365448
04/03/2020,1.8561179637908936
04/06/2020,1.883875846862793
04/09/2020,1.866459608078003
04/12/2020,1.8923215866088867
04/15/2020,1.952479600906372
04/18/2020,12.89875316619873
04/21/2020,8.30953598022461
04/24/2020,15.747833251953125
04/27/2020,19.808197021484375
04/30/2020,24.846839904785156
05/03/2020,23.70244026184082
05/06/2020,22.324493408203125
05/09/2020,16.840564727783203
05/12/2020,14.941837310791016
05/15/2020,17.277725219726562
05/18/2020,14.089040756225586
05/21/2020,25.17075538635254
05/24/2020,18.644115447998047
05/27/2020,23.05154037475586
05/30/2020,25.191991806030273
06/02/2020,25.29983139038086
06/05/2020,25.347129821777344
06/08/2020,25.180706024169922
06/11/2020,25.3663272857666
06/14/2020,25.349552154541016
06/17/2020,25.379783630371094
06/20/2020,25.38835334777832
06/23/2020,24.650026321411133
06/26/2020,21.96114730834961
06/29/2020,25.28451919555664
07/02/2020,23.982078552246094
07/05/2020,25.336566925048828
07/08/2020,25.332002639770508
07/11/2020,25.29301643371582
07/14/2020,24.914749145507812
07/17/2020,24.129844665527344
07/20/2020,25.27411460876465
07/23/2020,25.261802673339844
07/26/2020,21.2157039642334
07/29/2020,24.039236068725586
08/01/2020,24.312232971191406
08/04/2020,25.326948165893555
08/07/2020,25.333065032958984
08/10/2020,25.3498592376709
08/13/2020,23.60841941833496
08/16/2020,25.372129440307617
08/19/2020,25.374197006225586
08/22/2020,25.357501983642578
08/25/2020,24.710737228393555
08/28/2020,25.351531982421875
08/31/2020,25.182024002075195
09/03/2020,22.517105102539062
09/06/2020,21.902875900268555
09/09/2020,25.35085678100586
09/12/2020,25.360736846923828
09/15/2020,25.36016273498535
09/18/2020,23.61064338684082
09/21/2020,24.095348358154297
09/24/2020,25.360776901245117
09/27/2020,25.01705551147461
09/30/2020,24.072097778320312
10/03/2020,24.54174041748047
10/06/2020,25.283916473388672
10/09/2020,22.95730972290039
10/12/2020,22.419713973999023
10/15/2020,20.70209312438965
10/18/2020,18.626907348632812
10/21/2020,23.365625381469727
10/24/2020,25.071115493774414
10/27/2020,22.161108016967773
10/30/2020,20.389650344848633
11/02/2020,23.226194381713867
11/05/2020,19.002513885498047
11/08/2020,17.038949966430664
11/11/2020,15.652448654174805
11/14/2020,14.616898536682129
11/17/2020,13.843460083007812
11/20/2020,13.749028205871582
11/23/2020,12.560593605041504
11/26/2020,11.384820938110352
11/29/2020,10.566269874572754
12/02/2020,9.89886474609375
12/05/2020,9.229669570922852
12/08/2020,8.913965225219727
12/11/2020,8.65074634552002
12/14/2020,7.8935866355896
12/17/2020,7.552314758300781
12/20/2020,7.213683605194092
12/23/2020,6.459593772888184
12/26/2020,6.039406776428223
12/29/2020,5.548898220062256
01/04/2021,4.691756725311279
01/07/2021,4.304981231689453
01/10/2021,3.988600254058838
01/13/2021,3.8609135150909424
01/16/2021,3.6268372535705566
01/19/2021,3.5042824745178223
01/22/2021,3.401017427444458
01/25/2021,3.0708141326904297
01/28/2021,2.9007062911987305
01/31/2021,2.719378709793091
02/03/2021,2.487187623977661
02/06/2021,2.3367300033569336
02/09/2021,2.140960216522217
02/12/2021,2.003373861312866
02/15/2021,1.9539709091186523
02/18/2021,1.88919198513031
02/21/2021,1.8725587129592896
02/24/2021,1.8638033866882324
02/27/2021,1.8876726627349854
03/02/2021,1.9920201301574707
03/05/2021,1.9869229793548584
03/08/2021,2.0371060371398926
03/11/2021,2.021698474884033
03/14/2021,2.0244367122650146
03/17/2021,1.968878149986267
03/20/2021,2.0087151527404785
03/23/2021,2.05155611038208
03/26/2021,2.114506244659424
03/29/2021,2.1538257598876953
04/01/2021,2.771821975708008
04/04/2021,1.9765549898147583
04/07/2021,1.9259121417999268
04/10/2021,1.9413172006607056
04/13/2021,2.0050816535949707
04/16/2021,2.0187606811523438
04/19/2021,1.9777512550354004
04/22/2021,2.1734554767608643
04/25/2021,1.9532244205474854
04/28/2021,1.9731597900390625
05/01/2021,1.9650366306304932
05/04/2021,4.953970909118652
05/07/2021,4.4906768798828125
05/10/2021,3.1261372566223145
05/13/2021,2.7741899490356445
05/16/2021,2.6386003494262695
05/19/2021,3.3935461044311523
05/22/2021,2.2450265884399414
05/25/2021,8.063255310058594
05/28/2021,3.757261276245117
05/31/2021,9.6964111328125
06/03/2021,13.549114227294922
06/06/2021,19.062969207763672
06/09/2021,19.725830078125
06/12/2021,18.970706939697266
06/15/2021,23.530481338500977
06/18/2021,25.340707778930664
06/21/2021,25.316482543945312
06/24/2021,25.299827575683594
06/27/2021,25.271059036254883
06/30/2021,25.304292678833008
